Name,Thickness,Thickness Position,Camber,Camber Positionkc135a,49.162766,64.139,-26.075096,64.139
fx75141,0.14134,0.371,0.033898,0.533
fx75193,0.192731,0.402,0.036567,0.691
fx75vg166,0.16726,0.435,0.024001,0.403
fx76100,0.10066,0.279,-0.0,0.01
fx76120,0.1207,0.279,-0.0,0.052
fx76mp120,0.121121,0.339,0.075727,0.467
fx76mp140,0.141089,0.339,0.070741,0.467
fx76mp160,0.161478,0.339,0.060186,0.5
fx77080,0.08048,0.279,-0.0,0.01
fx77w121,0.121041,0.309,0.045597,0.309
fx77w153,10.868751,0.999,1.084453,8.469
fx77w258,13.471718,0.999,1.285987,10.591
fx77w270,0.271362,0.338,0.047386,0.277
fx77w270s,0.271344,0.337,0.046259,0.253
fx77w343,223.050003,234.981,-118.134232,234.981
fx78k140,0.14095,0.435,0.043517,0.435
fx78k140a20,0.14095,0.435,0.043517,0.435
fx78k150,0.15108,0.435,0.04319,0.435
fx78k161,0.16159,0.402,0.028453,0.371
fx78pk188,0.18814,0.435,0.023692,0.5
fx79k144,11.563468,1.0,1.147175,8.976
fx79l100,0.10066,0.339,-0.0,0.999
fx79l120,0.12068,0.339,-0.0,0.999
fx79w151a,0.15164,0.339,0.037734,0.371
fx79w470a,0.463421,0.374,0.032456,0.226
fx79w660a,0.663887,0.467,0.022563,0.171
fx80080,0.0806,0.402,0.02199,0.5
fx83w108,0.108684,0.309,0.042155,0.533
fx83w160,0.160503,0.371,0.038781,0.629
fx83w227,0.22645,0.339,0.034382,0.402
fx84w097,0.0974,0.339,0.028141,0.371
fx84w127,0.12754,0.339,0.037388,0.402
fx84w140,0.14082,0.371,0.042044,0.402
fx84w150,0.149895,0.37,0.042029,0.403
fx84w175,0.17609,0.371,0.043689,0.435
fx84w218,0.21965,0.339,0.03227,0.435
fxl142k,94.606361,-27.87,42.084419,-27.87
fxlv152,65.578781,-4.742,27.161016,-4.742
fxm2,12.787283,1.0,1.235448,9.98
fxs02196,12.076506,1.0,1.1785,9.413
fxs03182,10.367746,1.0,1.043971,8.052
fxs21158,9.836649,1.0,1.003482,7.628
geminism,0.15379,0.342,0.021989,0.379
giiia,24.579443,6.882,10.737289,6.882
giiib,18.562998,11.579,7.756844,11.579
giiic,11.774467,16.873,4.410864,16.873
giiid,8.411805,19.489,2.76061,19.489
giiie,9.914592,33.638,-6.299238,33.638
giiif,54.03231,67.486,-28.284637,67.486
giiig,51.311596,65.549,-27.007601,65.549
giiih,35.860149,53.852,-19.450125,53.852
giiii,30.682526,50.217,-17.224384,50.217
giiij,27.110609,47.58,-15.636493,47.58
giiik,35.494492,54.438,-19.982609,54.438
giiil,29.606955,49.787,-17.106371,49.787
giiim,56.109669,71.179,-30.410542,71.179
giiin,5.257645,4.251,-2.412529,26.0
glennmartin2,0.13498,0.202,0.058541,0.302
glennmartin3,0.137716,0.302,0.042041,0.302
glennmartin4,0.15493,0.301,0.057265,0.399
gm15sm,0.0674,0.205,0.047602,0.493
goe05k,8.349132,9.894,4.145461,9.894
goe06k,12.483727,6.87,6.212742,6.87
goe07k,14.536666,5.373,7.244472,5.373
goe08k,16.174885,4.188,8.075652,4.188
goe09k,6.14215,10.499,3.043271,10.499
goe100,15.357066,28.208,-7.7055,28.208
goe101,1.009779,0.738,0.766877,-0.024
goe10k,8.829095,8.528,4.385311,8.528
goe113,0.542722,0.603,0.74878,0.0
goe114,32.802559,40.943,-16.430578,40.943
goe115,9.115834,10.346,4.528813,10.346
goe116,1.178594,17.86,0.757724,0.0
goe117,0.921299,0.673,0.762673,-0.003
goe118,10.528625,24.685,-5.292542,24.685
goe11k,12.147532,6.095,6.043477,6.095
goe121,1.266507,0.924,0.784547,-0.015
goe122,4.039938,14.052,1.994462,14.052
goe123,1.798579,1.364,0.255534,1.364
goe124,2.169886,1.668,-0.608185,17.0
goe12k,14.240237,4.565,7.094252,4.565
goe133,11.14271,25.579,-6.305894,25.579
goe134,21.09346,32.99,-11.067203,32.99
goe137,4.941,13.339,2.252386,13.339
goe13k,15.261324,3.449,7.234521,3.449
goe14,3.87325,20.04,-2.948145,20.04
goe140,6.203604,21.559,-3.213649,21.559
goe143,5.441628,12.938,2.404433,12.938
goe144,15.78417,28.555,-7.958138,28.555
goe147,1.774736,1.344,-0.385372,17.0
goe14k,21.276182,-0.592,10.611027,-0.592
goe15,4.02224,20.132,-2.907929,20.132
goe155,9.640082,24.034,-4.844192,24.034
goe15k,24.27676,-2.781,12.117737,-2.781
goe164,2.273152,1.754,-0.667006,17.0
goe165,1.647468,1.253,-0.786691,17.711
goe167,8.759302,10.482,4.105711,10.482
goe16k,26.621117,-4.917,13.049623,-4.917
goe173,1.729748,1.308,0.246568,1.308
goe174,5.384967,12.898,2.104542,12.898
goe176,2.085554,1.61,0.281677,1.597
goe177,0.691896,0.507,0.229888,17.0
goe178,4.643722,20.399,-2.387155,20.399
goe180,2.008652,1.535,0.276027,1.535
goe182,7.60273,11.145,3.063109,11.145
goe184,2.18231,1.678,0.294079,1.678
goe187,0.082802,0.3,0.046837,0.3
goe188,0.0894,0.3,0.041598,0.3
goe190,10.59245,8.718,4.341174,8.718
goe195,97.611916,91.578,-49.434059,91.578
goe198,2.280569,1.76,-0.66878,17.0
goe199,12.313907,7.595,5.534842,7.595
goe207,2.360196,1.827,-0.715352,17.0
goe210,3.770706,19.805,-2.155203,19.805
goe217,7.381491,22.997,-5.233702,22.997
goe222,2.999831,2.387,0.371333,2.373
goe223,2.618424,2.056,-0.857762,17.0
goe225,2.984434,2.363,0.372222,2.363
goe226,3.201189,2.567,-1.190251,17.0
goe227,2.557026,1.994,-0.826982,17.0
goe228,3.147425,2.518,0.3862,2.504
goe229,2.937749,14.754,0.829129,14.754
goe233,2.983293,2.363,-1.484873,17.655
goe234,3.229852,2.58,-2.298416,18.737
goe235,0.065454,0.2,0.034576,0.399
goe238,9.327131,9.759,3.810453,9.759
goe239,2.61573,2.044,0.336237,2.044
goe240,16.746023,29.454,-8.639406,29.454
goe241,3.371914,2.74,-0.572521,15.881
goe242,2.704867,2.131,0.342401,2.117
goe243,22.924263,35.438,-12.844967,35.438
goe244,11.345805,26.03,-6.893108,26.03
goe255,2.521428,1.973,0.324511,1.96
goe256,2.624824,2.063,0.336055,2.051
goe257,11.137433,8.845,5.50286,8.845
goe264,1.438808,1.076,0.218328,1.076
goe265,5.3591,12.82,1.75894,12.82
goe269,1.899189,1.445,-0.454674,17.0
goe274,1.940415,1.479,0.268586,1.479
goe275,2.533254,1.974,-0.814622,17.0
goe276,6.317168,12.312,2.919463,12.312
goe277,1.722938,1.302,-0.369512,17.021
goe278,4.672538,20.594,-3.057216,20.594
goe279,2.736207,2.148,-0.932451,17.0
goe280,101.099281,90.053,-50.453022,90.053
goe281,6.673365,12.102,3.238848,12.102
goe282,30.61919,39.668,-15.516772,39.668
goe284,25.993973,37.815,-14.310719,37.815
goe285,3.003376,2.369,0.377133,2.369
goe286,6.196895,12.302,2.576269,12.302
goe287,32.838013,41.378,-16.662125,41.378
goe288,2.89836,2.298,-1.015054,17.0
goe289,8.957037,10.051,3.635958,10.051
goe290,22.386709,34.932,-12.512431,34.932
goe298,3.18195,2.537,0.392003,2.537
goe29b,2.425951,1.894,0.315611,1.881
goe300,5.306633,17.994,-2.935621,17.994
